Price,Close,High,Low,Open,Volume
Ticker,014820.KS,014820.KS,014820.KS,014820.KS,014820.KS
Date,,,,,
2024-05-20,42129.83203125,42375.63035115228,41687.395055425906,42178.991695230456,33945
2024-05-21,40065.125,42129.83082822086,40015.96533742332,41982.3518404908,52158
2024-05-22,39819.328125,40704.20208333333,39327.73148148148,40065.126446759255,33665
2024-05-23,40015.96484375,40360.082477541466,39376.889238137286,39819.326195869166,21541
2024-05-24,40015.96484375,40802.519435273345,39229.41025222666,39966.80518177979,59593
2024-05-27,40704.203125,40999.16111865942,38688.65683499396,40065.12747207125,51456
2024-05-28,39180.25390625,40753.36322243569,38983.61524172679,40704.20355630489,51869
2024-05-29,39327.73046875,39868.48676269531,38344.53720703125,38885.293500976564,40790
2024-05-30,42818.06640625,43801.25966471728,39229.41101284443,39229.41101284443,220720
2024-05-31,43260.50390625,43260.50390625,42277.31063565341,42818.06693448153,64535
2024-06-03,43653.78125,43997.89889498874,42277.310670045044,43260.50394144144,66380
2024-06-04,43702.94140625,44735.29435285433,43260.50442913386,43653.78174212599,75181
2024-06-05,43899.578125,45030.250349944006,43555.46049132139,44145.376434770435,84953
2024-06-07,44194.5390625,44735.29538028365,43113.0264269327,44440.33738876529,53629
2024-06-10,44931.93359375,46210.08487759847,43358.82432132112,43555.46298037473,116853
2024-06-11,47193.27734375,47635.714318847655,45030.252132161455,45030.252132161455,155165
2024-06-12,48127.3125,48176.472165474974,46111.76621552605,47684.87551072523,126704
2024-06-13,46603.36328125,48864.70791304061,46603.36328125,48520.59025168117,91041
2024-06-14,44587.81640625,46308.40469094543,44342.01807986494,46210.0853603914,109948
2024-06-17,46455.8828125,47979.832407407404,44440.33657407407,44833.61388888889,108709
2024-06-18,46800.0,48471.42857142857,46406.72268907563,47537.39495798319,86394
2024-06-19,47537.39453125,48520.58779973501,46062.604628522495,46701.680253037746,83565
2024-06-20,47635.71484375,49061.3451125516,47488.2358504257,47979.83249484004,100923
2024-06-21,46652.51953125,47930.67075128425,46603.35986894099,47340.754803576136,62958
2024-06-24,47488.234375,49061.343588250515,46947.478082945134,47094.95707168737,101650
2024-06-25,48569.74609375,50732.77122343118,47684.87217706224,47930.67048725329,142600
2024-06-26,49552.94140625,51126.05065724206,49159.66409350199,50241.17670355903,136655
2024-06-27,48864.70703125,50831.09363210513,48569.74904112173,49552.94234154929,79985
2024-06-28,46160.92578125,49356.304030218314,46062.60645051251,48864.70737653088,127178
2024-07-01,43407.984375,45620.169309173274,42965.547388165345,45620.169309173274,181558
2024-07-02,42965.546875,44145.378825800915,42719.74855191648,43555.46285040046,62852
2024-07-03,44292.85546875,44784.45208882492,43506.300876630135,43752.09918666759,84812
2024-07-04,44194.5390625,45620.16935483871,44047.06006674082,45128.57270230812,59943
2024-07-05,44292.85546875,45374.36803291482,44047.057158712545,44489.49411677997,59462
2024-07-08,45472.6875,46357.561418918915,44096.21695945946,44735.292567567565,57299
2024-07-09,45325.2109375,46111.765574159435,45276.051272708784,46013.44624457701,51066
2024-07-10,44342.015625,45521.84752633038,44342.015625,45521.84752633038,44834
2024-07-11,45767.6484375,46111.76609492482,44538.65680383996,44735.295465225565,53170
2024-07-12,47439.07421875,47684.872530764245,44735.292786593265,46111.76333387306,75726
2024-07-15,44096.21875,47389.91624860647,43506.30278010033,47389.91624860647,160712
2024-07-16,43506.30078125,44538.65368114407,42867.22517655367,44292.855371645484,68042
2024-07-17,43604.62109375,44538.65469102311,43063.86480059188,43850.41940882187,58696
2024-07-18,43752.1015625,44096.219215238765,43014.70659234551,43604.6225684691,36685
2024-07-19,44047.05859375,44292.85691179548,43113.02498517717,43260.50397600447,32919
2024-07-22,41638.234375,44342.01582792208,41638.234375,44342.01582792208,64584
2024-07-23,41638.234375,42375.62931670602,41490.75538665879,41785.7133633412,29322
2024-07-24,41244.95703125,43752.09983052741,40655.04107847884,40704.200741209774,60807
2024-07-25,41834.875,42572.26997649824,40360.08504700353,40999.160693302,35269
2024-07-26,41884.03515625,42670.5898070716,41490.757830839204,42670.5898070716,26265
2024-07-29,42965.546875,43063.86620423341,41539.91660111556,42572.269558066364,25105
2024-07-30,42867.2265625,43653.78117832569,42375.62992760894,42621.42824505447,22826
2024-07-31,42375.62890625,43358.82215233469,42129.830594728825,42818.06586698811,29321
2024-08-01,46800.0,47144.11764705882,42375.63025210084,42375.63025210084,140568
2024-08-02,44292.85546875,46062.6033010197,44243.69580674251,45620.166342952274,77544
2024-08-05,37361.34375,44489.49486019737,36427.31015625,43653.780592105264,141297
2024-08-06,39573.53125,40802.522903726705,37803.78326863354,37803.78326863354,67102
2024-08-07,40114.28515625,40753.36077761182,38393.696944891235,38393.696944891235,32304
2024-08-08,39426.05078125,40212.60541030237,38983.61380240804,39868.48776009196,32310
2024-08-09,40999.16015625,41441.59713635342,39868.48787376349,40802.521498426264,27783
2024-08-12,40999.16015625,41785.71478754497,40802.521498426264,40999.16015625,20230
2024-08-13,41048.3203125,41933.19428330838,40605.883327095806,41687.39595808383,28255
2024-08-14,42228.15234375,42228.15234375,41195.79937609139,41343.27837147119,28041
2024-08-16,41687.39453125,43113.02476875737,41539.915541163035,42965.5457786704,23835
2024-08-19,41294.1171875,42178.99112723214,40655.041564360115,41687.394494047614,22010
2024-08-20,41490.7578125,41933.19480339159,40802.52249333531,41834.87547208235,15009
2024-08-21,41785.71484375,42277.31148897058,40851.68121783088,41736.55517922794,23480
2024-08-22,41392.4375,42129.832467339664,41294.11817102138,42080.67280285036,23423
2024-08-23,40261.765625,41834.87490460928,39671.84964514652,41589.07657967033,23327
2024-08-26,40458.40234375,40949.99897004101,39819.326729571694,40949.99897004101,15804
2024-08-27,40507.5625,40753.360816140776,39868.48687803398,40704.201152912625,14002
2024-08-28,40114.28515625,40753.36077761182,39721.007850796566,40507.56246170343,15065
2024-08-29,40753.36328125,41048.3212784605,39524.37162620627,40507.564950241256,17128
2024-08-30,41195.796875,41294.116199284006,40212.6036321599,41294.116199284006,17674
2024-09-02,42228.15234375,43162.18598115542,40851.68172020518,41195.79937609139,59020
2024-09-03,42818.06640625,43113.02438379019,42080.67146239954,42129.831125322904,31876
2024-09-04,40999.16015625,42080.672774280574,40507.56351169065,41294.118142985615,32642
2024-09-05,41146.640625,41933.19528449821,40556.724630376346,41343.279289874554,29772
2024-09-06,38147.8984375,41343.27652826998,37656.301808150776,40802.52023598582,60954
2024-09-09,38049.578125,38541.174741602066,36623.947936854005,36869.74624515504,37404
2024-09-10,38541.17578125,38541.17578125,37803.78083645568,38147.8984773597,17294
2024-09-11,39229.41015625,39622.687451049496,38393.69590480106,38541.17489035088,18323
2024-09-12,39671.84765625,39819.3266438197,39032.772043447956,39426.04934363383,20780
2024-09-13,40065.125,40163.444325153374,39278.57039877301,39622.68803680982,11616
2024-09-19,40556.72265625,40851.68063920455,39868.4873626894,40458.403328598484,15539
2024-09-20,40261.765625,41343.27825473138,40114.28663003663,40999.160599816845,25290
2024-09-23,40753.36328125,41195.80027706574,40163.44728682901,40753.36328125,16233
2024-09-24,42228.15234375,42572.269999636206,40802.52205507858,40851.68172020518,44300
2024-09-25,42621.4296875,43211.34566933391,41441.59772383218,42621.4296875,32027
2024-09-26,43899.578125,44047.05711086226,42080.67063269877,42818.06556201008,28723
2024-09-27,43358.82421875,43899.580529868195,43063.866230867345,43604.62254198554,19922
2024-09-30,43309.6640625,44243.69768019296,43211.34473432179,43801.26070339103,25639
2024-10-02,44243.69921875,44735.29587673611,42670.589913194446,43211.34623697917,43909
2024-10-04,42424.7890625,44292.85625181055,42375.62939962341,44292.85625181055,25339
2024-10-07,47586.5546875,49552.941244834714,44096.21854823089,44686.1345154313,380824
2024-10-08,49749.578125,50044.53609807312,46603.35974555336,46996.637042984185,169536
2024-10-10,52699.16015625,53092.43747084888,49651.260968108676,50634.45425460588,239423
2024-10-11,50634.453125,53289.07493932039,50142.85649271845,52699.15898058253,106291
2024-10-14,50634.453125,51617.64638956311,48373.108616504855,50044.53716626214,137045
2024-10-15,50339.49609375,51912.60534667969,49159.664154052734,50732.77340698242,88819
2024-10-16,51126.05078125,51912.60540865384,50044.538168569714,51027.73145282452,75328
2024-10-17,49454.62109375,51126.04963966203,49356.30176751988,51126.04963966203,37105
2024-10-18,48618.90625,50437.81376390293,48569.74658746208,49159.66253791709,32456
2024-10-21,47979.83203125,49552.94127817623,47979.83203125,48520.58833488089,33884
2024-10-22,45669.328125,47930.672682319695,44882.77349636706,47537.39536800323,69559
2024-10-23,46210.0859375,46800.001928191494,44882.77495844415,45571.01028091756,46535
2024-10-24,47684.875,48471.42963917526,46554.20270618557,47586.555670103095,64834
2024-10-25,49454.62109375,50732.77233474155,48569.747157678925,49061.34378882952,118289
2024-10-28,50044.5390625,50929.41303413556,48471.42977959234,49552.94241159136,81631
2024-10-29,49946.21875,50339.496062992126,49257.98345226378,49749.58009350394,35791
2024-10-30,48913.8671875,50437.81681846734,48913.8671875,50437.81681846734,39073
2024-10-31,50142.85546875,50339.49411764706,48176.46897977941,48963.023575367646,47822
2024-11-01,49749.578125,51224.36799036561,48766.38488142292,49454.62015192687,69907
2024-11-04,48815.546875,49847.89983006042,47291.59727467271,49749.58050100705,83178
2024-11-05,49110.50390625,50044.53751407658,47979.83164414415,48176.470298423425,36793
2024-11-06,48815.546875,52502.52171450151,47881.51324899295,49749.58050100705,107159
2024-11-07,48815.546875,48520.58888783988,45915.12666792548,48520.58888783988,68585
2024-11-08,46259.2421875,48815.54462506642,45669.326240369286,47734.03205532678,71506
2024-11-11,46750.83984375,48078.15075414038,45718.48691344637,47684.87344735805,57977
2024-11-12,46111.765625,47193.27825159915,44784.45467417377,46554.20260860874,39288
2024-11-13,43407.984375,46210.08529161948,43407.984375,45079.41299193092,42253
2024-11-14,41933.19140625,44489.49381319607,41933.19140625,44243.69550483587,55851
2024-11-15,40802.51953125,41441.59513836596,39081.931358245485,39819.326289533135,93424
2024-11-18,43014.70703125,43702.94234375,40310.92544642857,40802.522098214286,30939
2024-11-19,43555.4609375,44342.01553682279,43014.704650465574,43014.704650465574,18533
2024-11-20,43014.70703125,43850.42133928571,42768.90870535714,43260.50535714286,18145
2024-11-21,43063.8671875,44489.4974939355,42670.589861586755,42670.589861586755,23081
2024-11-22,45374.37109375,46111.7660736051,43063.86682353738,43801.261803392474,51071
2024-11-25,46062.60546875,46947.47942652748,45423.52983257738,45718.4878185032,26585
2024-11-26,45620.16796875,46652.520907698,45472.68897747171,45521.84864123114,17290
2024-11-27,45865.96484375,46652.51943914121,45226.88923499464,45620.166532690244,25418
2024-11-28,46603.36328125,46849.16161079246,45718.489294897154,46308.405285799054,22351
2024-11-29,44735.29296875,46603.36014766484,44538.65431833792,46603.36014766484,40138
2024-12-02,42867.2265625,46210.08367975918,42473.949254587154,44735.29377508601,42721
2024-12-03,43948.73828125,44538.654231333894,43260.503006152125,43260.503006152125,21113
2024-12-04,43063.8671875,43948.741170804795,42621.4301958476,43063.8671875,22191
2024-12-05,41687.39453125,43407.98274893131,41539.915541163035,43113.02476875737,16993
2024-12-06,42277.3125,42670.589825581395,40507.56453488372,41195.799854651166,28167
2024-12-09,39475.2109375,42375.63116827522,39475.2109375,42375.63116827522,40533
2024-12-10,41048.3203125,41146.63964258982,39819.328686377245,39819.328686377245,18781
2024-12-11,41785.71484375,41884.03417279411,41048.319875919115,41048.319875919115,12658
2024-12-12,42375.62890625,42523.1078931627,41146.63734864414,42523.1078931627,28156
2024-12-13,41294.1171875,42473.94910714286,40458.402911086305,42080.671800595235,42465
2024-12-16,42670.58984375,42965.54783806163,41392.43853506624,41490.75786650345,23574
2024-12-17,41785.71484375,43211.34511488971,41539.916521139705,43162.185450367644,19470
2024-12-18,41834.875,42375.63131609871,41539.917009400706,42375.63131609871,11411
2024-12-19,39770.16796875,40999.15956234549,39721.00830500618,40655.041916138754,33776
2024-12-20,39426.05078125,40015.966753039276,39131.09279535536,39819.32809577618,16925
2024-12-23,40065.125,40507.561963190186,38934.452760736196,39819.32668711657,16525
2024-12-24,41441.59765625,41736.55564668594,39868.48837392497,39868.48837392497,25033
2024-12-26,39475.2109375,41589.07652942092,39327.73194271482,41589.07652942092,41265
2024-12-27,39917.6484375,40310.925762007384,39081.9341229218,39475.21144742919,19299
2024-12-30,39622.6875,40310.92276674938,39426.04885235732,39917.64547146402,8543
2025-01-02,38934.453125,39622.68840751263,38492.016157670456,39327.73042929293,19884
2025-01-03,40409.2421875,41048.317793871654,38983.61198867093,39032.77165069951,17854
2025-01-06,40704.203125,41343.27877792874,40409.245131340576,40409.245131340576,14466
2025-01-07,40605.8828125,41638.23576536017,40507.56348365617,40704.20214134383,10547
2025-01-08,40507.5625,41097.47845873787,40212.604520631074,40212.604520631074,9423
2025-01-09,40605.8828125,41195.798785562954,40065.12650385896,40507.56348365617,26897
2025-01-10,39671.84765625,40851.67955680762,39376.889681110595,40409.24259409851,21712
2025-01-13,40065.125,40065.125,39032.77208588957,39032.77208588957,9934
2025-01-14,40605.8828125,40753.361805765744,39475.21053079601,40114.28616828087,14792
2025-01-15,39721.0078125,41048.31871712562,39721.0078125,41048.31871712562,13275
2025-01-16,40261.765625,40556.72361492674,40015.96730006105,40310.92528998779,13099
2025-01-17,40065.125,40605.88128834356,39917.64601226994,40015.96533742332,9751
2025-01-20,41097.48046875,41097.48046875,40114.28715610048,40556.72414679276,16213
2025-01-21,39229.41015625,41244.95629209743,38393.69590480106,40753.35967359805,42332
2025-01-22,39180.25390625,39721.01023368883,38836.136243334375,39475.21190303482,13557
2025-01-23,37951.26171875,39327.73235103627,37754.62305699482,39131.093689281086,31813
2025-01-24,37656.30078125,38246.21672038185,37508.82179646703,37852.93942762728,16704
2025-01-31,37312.18359375,38295.37683732707,37115.544945034584,38295.37683732707,16844
2025-02-03,34215.125,36918.9064295977,33723.52837643678,36869.74676724138,73396
2025-02-04,33920.16796875,34755.88225203804,33723.52931385869,34460.924269701085,51925
2025-02-05,34903.36328125,35149.16161421655,33969.32961597711,34165.96828235035,25490
2025-02-06,35001.6796875,35345.79732487711,34706.72171260534,34854.20070005267,18208
2025-02-07,34755.8828125,35493.27778023338,34215.126502828854,35493.27778023338,31970
2025-02-10,35296.640625,35345.80029160863,34165.968293001395,35001.68262534819,19474
2025-02-11,34755.8828125,35640.75677378006,34608.403818953324,35542.43744474894,25476
2025-02-12,35394.95703125,35935.71331922743,34805.04108072916,35247.47804361979,25923
2025-02-13,36673.109375,36820.58836712467,35394.95810991957,35394.95810991957,26600
2025-02-14,36427.3125,37115.54782388664,36230.67383603239,36574.79149797571,22176
2025-02-17,37066.38671875,37459.66403141578,36378.15142158488,36427.3110856681,29303
2025-02-18,36722.26953125,37361.345172356094,36230.672884245316,37164.706513554214,19460
2025-02-19,38147.8984375,38639.49506684923,36623.9488865174,36673.10854945232,42423
2025-02-20,38000.421875,38737.81686610608,37607.14454641009,38098.741207147476,30112
2025-02-21,37852.94140625,38442.85737621753,37803.78174208604,38246.218719561686,10764
2025-02-24,39032.7734375,39770.16840168451,37705.462501967886,37754.62216624685,47131
2025-02-25,37902.1015625,39032.77385295071,37705.462903291176,39032.77385295071,24656
2025-02-26,38590.3359375,38590.3359375,37607.14266520701,38442.85694665605,15484
2025-02-27,38147.8984375,38590.33540391431,37410.503493476164,38492.01607804446,17055
2025-02-28,36328.9921875,37656.303133457375,36034.03419950947,37557.983804127194,29937
2025-03-04,35394.95703125,36328.99061957465,34805.04108072916,36328.99061957465,16665
2025-03-05,36378.15234375,36574.79100506757,35345.79937183277,35444.118702491556,13613
2025-03-06,36427.3125,37312.186487854255,35739.07717611336,37017.22849190283,16443
2025-03-07,36525.62890625,36869.74654062921,35591.595327220726,36476.46924419583,14492
2025-03-10,35837.39453125,36378.15082733196,35394.9575617284,36181.51217421125,24894
2025-03-11,34657.5625,35099.99946808511,34264.28519503546,34411.764184397165,29029
2025-03-12,35296.640625,35493.27929143454,34362.606959435936,34460.9262926532,13971
2025-03-13,34608.40234375,35542.43592973189,34510.0830189098,35050.83930553089,19871
2025-03-14,34755.8828125,35198.31979314003,34510.08448992221,34608.403818953324,7883
2025-03-17,35394.95703125,35394.95703125,34706.721755642364,35345.7973687066,15936
2025-03-18,35394.95703125,36083.192306857636,34854.200743272566,35542.43601888021,23641
2025-03-19,36083.19140625,36279.830051515666,35640.754454402246,35788.2334383515,22459
2025-03-20,36427.3125,37263.026821862346,36132.354504048584,36132.354504048584,27240
2025-03-21,35886.5546875,36968.06729452055,35591.59670376712,36525.630318921234,13237
2025-03-24,35591.59765625,36279.83297004489,35149.16066881043,36279.83297004489,10460
2025-03-25,35444.1171875,35935.71381978156,35345.79786104369,35444.1171875,8175
2025-03-26,35935.71484375,36181.51316689466,35247.47953894494,35788.2358498632,9075
2025-03-27,35100.0,35739.0756302521,35050.84033613445,35493.277310924364,6876
2025-03-28,34400.0,35800.0,34350.0,35700.0,16992
2025-03-31,32650.0,34450.0,32050.0,34450.0,36858
2025-04-01,33150.0,33300.0,32050.0,32750.0,15089
2025-04-02,32000.0,33250.0,31750.0,33250.0,19296
2025-04-03,32600.0,32650.0,30850.0,30850.0,13477
2025-04-04,32900.0,33000.0,31800.0,32000.0,19333
2025-04-07,31200.0,31500.0,30850.0,31500.0,16209
2025-04-08,30950.0,31700.0,30650.0,31200.0,23517
2025-04-09,29400.0,31000.0,29200.0,30150.0,22497
2025-04-10,32750.0,32750.0,30300.0,30300.0,22593
2025-04-11,32950.0,33050.0,31500.0,31800.0,8845
2025-04-14,32950.0,33400.0,32600.0,32900.0,13103
2025-04-15,33100.0,34200.0,32600.0,33800.0,12988
2025-04-16,32850.0,33500.0,32650.0,33350.0,8838
2025-04-17,33350.0,33500.0,32750.0,33200.0,6913
2025-04-18,33150.0,33300.0,32750.0,33050.0,6071
2025-04-21,33200.0,33700.0,33050.0,33350.0,7675
2025-04-22,33400.0,33450.0,32900.0,33400.0,10246
2025-04-23,34100.0,34200.0,33700.0,33700.0,16539
2025-04-24,32850.0,34000.0,32650.0,33950.0,23239
2025-04-25,33300.0,33800.0,33000.0,33200.0,14823
2025-04-28,33250.0,33900.0,33150.0,33150.0,6572
2025-04-29,33850.0,33850.0,33200.0,33250.0,11454
2025-04-30,32700.0,33400.0,32650.0,33300.0,14747
